RowID,PersonType,PersonTypeCode,IDNumber,Nationality,NameShort,Phone,Location,Latitude,Longitude,IssueDate,ExpiryDate,TokenId,TokenStartTime,TokenEndTime,UsageTime,TokenDurationMinutes,UsedWithinValidity,DeviceId,State,StateArabic,RiskLabel,RiskReason,FraudType
3385,Resident,2,2676743889,Filipino,Aaron B.,545183616,Jazan,16.8895,42.57,5/19/2025,4/13/2028,TKN-57868592,10/19/2025 12:12,10/19/2025 12:27,10/19/2025 12:17,15,1,DEV-52853004,Active,فعال,Low,None,None
2790,Citizen,1,1206743219,Saudi,Aaron B.,533094606,Dammam,26.4207,50.0888,10/3/2024,11/26/2025,TKN-81452528,6/13/2025 14:49,6/13/2025 15:04,6/13/2025 14:54,15,1,DEV-14444657,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
2820,Citizen,1,1366671176,Saudi,Aaron B.,521903576,Abha,18.2465,42.5117,1/22/2024,7/31/2026,TKN-61085370,3/10/2024 22:49,3/10/2024 23:04,3/10/2024 22:50,15,1,DEV-83256618,Active,فعال,Low,None,None
2319,Resident,2,2282580601,Indian,Aaron C.,538102644,Jazan,16.8895,42.57,8/25/2024,4/21/2027,TKN-28276958,9/15/2024 3:53,9/15/2024 4:08,9/15/2024 5:31,15,0,DEV-95307277,Expired,منتهي,Medium,Token Expired,None
3778,Resident,2,2777405890,Pakistani,Aaron C.,580898513,Jazan,16.8895,42.57,11/6/2025,2/12/2027,TKN-09201887,11/10/2025 15:25,11/10/2025 15:40,11/10/2025 15:25,15,1,DEV-48764273,Active,فعال,Low,None,None
1429,Citizen,1,1500940025,Saudi,Aaron C.,593741127,Makkah,21.3891,39.8579,5/28/2025,7/26/2026,TKN-19085432,7/22/2025 10:46,7/22/2025 11:01,7/22/2025 10:51,15,1,DEV-08601460,Active,فعال,Low,None,None
908,Resident,2,2708777380,Yemeni,Aaron C.,524480943,Riyadh,24.7136,46.6753,1/12/2025,5/6/2026,TKN-31139500,6/30/2025 1:44,6/30/2025 1:59,6/30/2025 3:23,15,0,DEV-96610168,Expired,منتهي,Medium,Token Expired,None
3470,Citizen,1,1084011602,Saudi,Aaron F.,533225244,Makkah,21.3891,39.8579,6/5/2025,12/24/2027,TKN-53762109,11/22/2025 12:49,11/22/2025 13:04,11/22/2025 13:03,15,1,DEV-26292259,Active,فعال,Low,None,None
3217,Citizen,1,1301002995,Saudi,Aaron H.,522334885,Hail,27.5114,41.7208,6/19/2024,12/15/2026,TKN-46879752,10/25/2025 9:13,10/25/2025 9:28,10/25/2025 9:13,15,1,DEV-60421210,Active,فعال,Low,None,None
482,Citizen,1,1680352629,Saudi,Aaron J.,522494970,Al Baha,20.0129,41.4677,6/3/2025,5/11/2027,TKN-23728179,8/23/2025 6:03,8/23/2025 6:18,8/23/2025 6:15,15,1,DEV-86462252,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
